Character,Gender,speaking_turns,Total_Words,radius,diameter,Movie,Color
Alfred,male,30,438,20.92844954,41.85689907,BatmanVSuperman,#1f77b4
Amajagh's Assistant 2,male,1,4,2,4,BatmanVSuperman,#1f77b4
Anatoli Knyazev,male,8,60,7.745966692,15.49193338,BatmanVSuperman,#1f77b4
Anderson Cooper,male,3,127,11.26942767,22.53885534,BatmanVSuperman,#1f77b4
Andrew Sullivan,male,1,21,4.582575695,9.16515139,BatmanVSuperman,#1f77b4
Announcer,male,2,14,3.741657387,7.483314774,BatmanVSuperman,#1f77b4
Bruce Wayne (Batman),male,81,1089,33,66,BatmanVSuperman,#1f77b4
Captive Woman,female,3,11,3.31662479,6.633249581,BatmanVSuperman,#e377c2
Cesar,male,1,18,4.242640687,8.485281374,BatmanVSuperman,#1f77b4
Chairman of Joint Chiefs,male,1,7,2.645751311,5.291502622,BatmanVSuperman,#1f77b4
Charlie Rose,male,3,60,7.745966692,15.49193338,BatmanVSuperman,#1f77b4
Clark Kent (Superman),male,46,453,21.28379665,42.56759331,BatmanVSuperman,#1f77b4
Cop,male,1,21,4.582575695,9.16515139,BatmanVSuperman,#1f77b4
Courtroom Assistant,male,1,8,2.828427125,5.656854249,BatmanVSuperman,#1f77b4
Daily Planet Worker,male,1,7,2.645751311,5.291502622,BatmanVSuperman,#1f77b4
Dana Bash,female,2,62,7.874007874,15.74801575,BatmanVSuperman,#e377c2
Diana Prince (Wonder Woman),female,16,179,13.37908816,26.75817632,BatmanVSuperman,#e377c2
Dr. Silas Stone,male,1,31,5.567764363,11.13552873,BatmanVSuperman,#1f77b4
Emmet,male,1,45,6.708203932,13.41640786,BatmanVSuperman,#1f77b4
Erika Erickson,female,2,73,8.544003745,17.08800749,BatmanVSuperman,#e377c2
Finch's Assistant,female,1,4,2,4,BatmanVSuperman,#e377c2
Flash,male,1,43,6.557438524,13.11487705,BatmanVSuperman,#1f77b4
Flight Attendant,female,2,6,2.449489743,4.898979486,BatmanVSuperman,#e377c2
General,male,2,21,4.582575695,9.16515139,BatmanVSuperman,#1f77b4
General Amajagh,male,5,66,8.124038405,16.24807681,BatmanVSuperman,#1f77b4
Glen Woodburn,male,1,21,4.582575695,9.16515139,BatmanVSuperman,#1f77b4
Governor,male,1,6,2.449489743,4.898979486,BatmanVSuperman,#1f77b4
Greg,male,3,33,5.744562647,11.48912529,BatmanVSuperman,#1f77b4
Guard,male,1,27,5.196152423,10.39230485,BatmanVSuperman,#1f77b4
Helpers,male,1,4,2,4,BatmanVSuperman,#1f77b4
Jack,male,4,39,6.244997998,12.489996,BatmanVSuperman,#1f77b4
James,male,2,17,4.123105626,8.246211251,BatmanVSuperman,#1f77b4
Jenny,female,10,79,8.888194417,17.77638883,BatmanVSuperman,#e377c2
Jonathan Kent,male,2,151,12.28820573,24.57641145,BatmanVSuperman,#1f77b4
Kahina,female,2,52,7.211102551,14.4222051,BatmanVSuperman,#e377c2
Knyazev's Man 1,male,1,3,1.732050808,3.464101615,BatmanVSuperman,#1f77b4
Knyazev's Man 2,male,1,2,1.414213562,2.828427125,BatmanVSuperman,#1f77b4
Kryptonian Ship,female,11,121,11,22,BatmanVSuperman,#e377c2
Leblanc,female,1,11,3.31662479,6.633249581,BatmanVSuperman,#e377c2
Lex Luthor,male,54,1480,38.47076812,76.94153625,BatmanVSuperman,#1f77b4
Lois Lane,female,48,397,19.92485885,39.84971769,BatmanVSuperman,#e377c2
Major Farris,female,1,1,1,2,BatmanVSuperman,#e377c2
Man 3,male,2,8,2.828427125,5.656854249,BatmanVSuperman,#1f77b4
Man 4,male,1,5,2.236067977,4.472135955,BatmanVSuperman,#1f77b4
Man in Car,male,1,4,2,4,BatmanVSuperman,#1f77b4
Man in Car 2,male,1,1,1,2,BatmanVSuperman,#1f77b4
Man on TV,male,1,11,3.31662479,6.633249581,BatmanVSuperman,#1f77b4
Martha Kent,female,3,79,8.888194417,17.77638883,BatmanVSuperman,#e377c2
Mercy Graves,female,4,14,3.741657387,7.483314774,BatmanVSuperman,#e377c2
Military 2,male,2,6,2.449489743,4.898979486,BatmanVSuperman,#1f77b4
Military 3,male,1,3,1.732050808,3.464101615,BatmanVSuperman,#1f77b4
Military Man,male,1,6,2.449489743,4.898979486,BatmanVSuperman,#1f77b4
Military Man 2,male,1,5,2.236067977,4.472135955,BatmanVSuperman,#1f77b4
Military Personnel,female,4,20,4.472135955,8.94427191,BatmanVSuperman,#e377c2
Mr. Wayne,male,2,2,1.414213562,2.828427125,BatmanVSuperman,#1f77b4
Nancy Grace,female,1,37,6.08276253,12.16552506,BatmanVSuperman,#e377c2
Neil deGrasse Tyson,male,1,86,9.273618495,18.54723699,BatmanVSuperman,#1f77b4
Newscaster,male,1,80,8.94427191,17.88854382,BatmanVSuperman,#1f77b4
Officer,male,2,14,3.741657387,7.483314774,BatmanVSuperman,#1f77b4
Officer 2,male,2,22,4.69041576,9.38083152,BatmanVSuperman,#1f77b4
Officer 3,male,1,6,2.449489743,4.898979486,BatmanVSuperman,#1f77b4
Officer 4,male,1,6,2.449489743,4.898979486,BatmanVSuperman,#1f77b4
Officer Rucka,male,3,22,4.69041576,9.38083152,BatmanVSuperman,#1f77b4
Operator,male,1,15,3.872983346,7.745966692,BatmanVSuperman,#1f77b4
Perry White,male,21,259,16.09347694,32.18695388,BatmanVSuperman,#1f77b4
Photographer,male,2,8,2.828427125,5.656854249,BatmanVSuperman,#1f77b4
Pilot,male,1,4,2,4,BatmanVSuperman,#1f77b4
Player,male,1,3,1.732050808,3.464101615,BatmanVSuperman,#1f77b4
President,male,5,22,4.69041576,9.38083152,BatmanVSuperman,#1f77b4
Reporter 2,male,3,57,7.549834435,15.09966887,BatmanVSuperman,#1f77b4
Reporter 3,male,1,15,3.872983346,7.745966692,BatmanVSuperman,#1f77b4
Reporter 4,female,2,17,4.123105626,8.246211251,BatmanVSuperman,#e377c2
Reporter 5,female,2,46,6.782329983,13.56465997,BatmanVSuperman,#e377c2
Secretary Swanwick,male,18,175,13.22875656,26.45751311,BatmanVSuperman,#1f77b4
Senator,male,5,31,5.567764363,11.13552873,BatmanVSuperman,#1f77b4
Senator Finch,female,15,302,17.3781472,34.75629439,BatmanVSuperman,#e377c2
Signals Officer,male,1,3,1.732050808,3.464101615,BatmanVSuperman,#1f77b4
Soledad O'Brien,female,2,72,8.485281374,16.97056275,BatmanVSuperman,#e377c2
Vikram Gandhi,male,2,108,10.39230485,20.78460969,BatmanVSuperman,#1f77b4
Wallace,male,10,108,10.39230485,20.78460969,BatmanVSuperman,#1f77b4
Woman,male,1,5,2.236067977,4.472135955,BatmanVSuperman,#1f77b4
Woman 2,male,1,5,2.236067977,4.472135955,BatmanVSuperman,#1f77b4
Agent,male,1,16,4,8,Civil War,#1f77b4
Aunt May,female,8,51,7.141428429,14.28285686,Civil War,#e377c2
Bad Guy #1,male,2,15,3.872983346,7.745966692,Civil War,#1f77b4
Bad Guy #2,male,1,3,1.732050808,3.464101615,Civil War,#1f77b4
Bodyguard,female,1,6,2.449489743,4.898979486,Civil War,#e377c2
Bucky,male,47,340,18.43908891,36.87817783,Civil War,#1f77b4
Clint,male,26,274,16.55294536,33.10589071,Civil War,#1f77b4
Cop,male,2,12,3.464101615,6.92820323,Civil War,#1f77b4
Delivery,male,1,1,1,2,Civil War,#1f77b4
Delivery Man,male,2,6,2.449489743,4.898979486,Civil War,#1f77b4
Everett Ross,male,6,127,11.26942767,22.53885534,Civil War,#1f77b4
Friday,female,17,153,12.36931688,24.73863375,Civil War,#e377c2
Front Desk Woman,female,1,9,3,6,Civil War,#e377c2
Guard,male,1,13,3.605551275,7.211102551,Civil War,#1f77b4
Guy on PA system,male,1,10,3.16227766,6.32455532,Civil War,#1f77b4
Howard,male,6,66,8.124038405,16.24807681,Civil War,#1f77b4
LAGOS,male,1,2,1.414213562,2.828427125,Civil War,#1f77b4
Mailman,male,1,4,2,4,Civil War,#1f77b4
Man,male,3,6,2.449489743,4.898979486,Civil War,#1f77b4
Maria,female,5,83,9.110433579,18.22086716,Civil War,#e377c2
MESSAGE INBOX,male,1,2,1.414213562,2.828427125,Civil War,#1f77b4
Miriam,female,4,114,10.67707825,21.3541565,Civil War,#e377c2
Natasha,female,64,551,23.47338919,46.94677838,Civil War,#e377c2
Other Winter Soldier,male,1,2,1.414213562,2.828427125,Civil War,#1f77b4
Peter,male,66,671,25.90366769,51.80733539,Civil War,#1f77b4
Preacher,male,1,17,4.123105626,8.246211251,Civil War,#1f77b4
Receptionist,female,2,11,3.31662479,6.633249581,Civil War,#e377c2
Reporter,male,7,159,12.60952021,25.21904043,Civil War,#1f77b4
Rhodey,male,22,274,16.55294536,33.10589071,Civil War,#1f77b4
Room Service Lady,female,5,49,7,14,Civil War,#e377c2
Rumlow,male,8,125,11.18033989,22.36067977,Civil War,#1f77b4
Sam,male,63,489,22.11334439,44.22668877,Civil War,#1f77b4
Scott,male,23,244,15.62049935,31.2409987,Civil War,#1f77b4
Secretary Ross,male,17,353,18.78829423,37.57658846,Civil War,#1f77b4
Sharon,female,22,359,18.94729532,37.89459064,Civil War,#e377c2
Steve,male,154,1404,37.46998799,74.93997598,Civil War,#1f77b4
T'Chaka,male,8,174,13.19090596,26.38181192,Civil War,#1f77b4
T'Challa,male,28,294,17.1464282,34.2928564,Civil War,#1f77b4
Teacher Man,male,3,62,7.874007874,15.74801575,Civil War,#1f77b4
Text Message,male,1,5,2.236067977,4.472135955,Civil War,#1f77b4
Tony,male,162,2267,47.61302343,95.22604686,Civil War,#1f77b4
Vasily Karpov,male,10,56,7.483314774,14.96662955,Civil War,#1f77b4
Vision,male,27,347,18.62793601,37.25587202,Civil War,#1f77b4
Wanda,female,31,200,14.14213562,28.28427125,Civil War,#e377c2
Woman,female,1,23,4.795831523,9.591663047,Civil War,#e377c2
Zemo,male,31,587,24.22808288,48.45616576,Civil War,#1f77b4
Zemo's Wife,female,2,47,6.8556546,13.7113092,Civil War,#e377c2
Agent Smith,male,14,144,12,24,Deadpool,#1f77b4
Ajax,male,48,945,30.7408523,61.4817046,Deadpool,#1f77b4
Al,female,20,153,12.36931688,24.73863375,Deadpool,#e377c2
Angel,female,7,29,5.385164807,10.77032961,Deadpool,#e377c2
Announcer,male,2,24,4.898979486,9.797958971,Deadpool,#1f77b4
Another Guy,male,1,6,2.449489743,4.898979486,Deadpool,#1f77b4
Apartment Owner,male,8,94,9.695359715,19.39071943,Deadpool,#1f77b4
Bob,male,2,3,1.732050808,3.464101615,Deadpool,#1f77b4
Boothe,male,3,9,3,6,Deadpool,#1f77b4
Boss,male,1,13,3.605551275,7.211102551,Deadpool,#1f77b4
Buck,male,6,22,4.69041576,9.38083152,Deadpool,#1f77b4
Colossus,male,33,296,17.20465053,34.40930107,Deadpool,#1f77b4
Cunningham,male,7,40,6.32455532,12.64911064,Deadpool,#1f77b4
Deadpool,male,298,4692,68.49817516,136.9963503,Deadpool,#1f77b4
Doctor,male,2,40,6.32455532,12.64911064,Deadpool,#1f77b4
Dopinder,male,24,188,13.7113092,27.4226184,Deadpool,#1f77b4
Garbage Man,male,1,2,1.414213562,2.828427125,Deadpool,#1f77b4
Gunmen Leader,male,1,2,1.414213562,2.828427125,Deadpool,#1f77b4
Jeremy,male,9,56,7.483314774,14.96662955,Deadpool,#1f77b4
Meghan,female,2,8,2.828427125,5.656854249,Deadpool,#e377c2
Negasonic,female,16,72,8.485281374,16.97056275,Deadpool,#e377c2
Reporter,female,1,42,6.480740698,12.9614814,Deadpool,#e377c2
Skee Ball Guy,male,1,18,4.242640687,8.485281374,Deadpool,#1f77b4
Some Guy,male,1,5,2.236067977,4.472135955,Deadpool,#1f77b4
Some Guys,male,1,6,2.449489743,4.898979486,Deadpool,#1f77b4
Unknown Girl,female,1,8,2.828427125,5.656854249,Deadpool,#e377c2
Unknown Guy,male,3,11,3.31662479,6.633249581,Deadpool,#1f77b4
Unknown Guy 2,male,1,4,2,4,Deadpool,#1f77b4
Unknown Man,male,6,24,4.898979486,9.797958971,Deadpool,#1f77b4
Unknown Woman,female,3,11,3.31662479,6.633249581,Deadpool,#e377c2
Unknown Woman 2,female,1,4,2,4,Deadpool,#e377c2
Unknown Woman 3,female,1,2,1.414213562,2.828427125,Deadpool,#e377c2
Vanessa,female,67,442,21.02379604,42.04759208,Deadpool,#e377c2
Weasel,male,62,731,27.03701167,54.07402334,Deadpool,#1f77b4
Abernathy,male,7,56,7.483314774,14.96662955,Fantastic Beasts,#1f77b4
Auror 1,male,1,2,1.414213562,2.828427125,Fantastic Beasts,#1f77b4
Auror 2,male,1,1,1,2,Fantastic Beasts,#1f77b4
Awards Announcer,male,1,42,6.480740698,12.9614814,Fantastic Beasts,#1f77b4
Bank Employee,male,1,5,2.236067977,4.472135955,Fantastic Beasts,#1f77b4
Barker,male,2,16,4,8,Fantastic Beasts,#1f77b4
Bartender,male,3,12,3.464101615,6.92820323,Fantastic Beasts,#1f77b4
Bernadette,female,2,12,3.464101615,6.92820323,Fantastic Beasts,#e377c2
Bingley,male,8,57,7.549834435,15.09966887,Fantastic Beasts,#1f77b4
Bingley's Assistant,female,1,8,2.828427125,5.656854249,Fantastic Beasts,#e377c2
Boy,male,1,6,2.449489743,4.898979486,Fantastic Beasts,#1f77b4
Chastity Barebone,female,2,17,4.123105626,8.246211251,Fantastic Beasts,#e377c2
Credence Barebone,male,16,121,11,22,Fantastic Beasts,#1f77b4
Customs Agent,male,6,23,4.795831523,9.591663047,Fantastic Beasts,#1f77b4
Executioner 1,female,1,9,3,6,Fantastic Beasts,#e377c2
Gnarlak,male,8,110,10.48808848,20.97617696,Fantastic Beasts,#1f77b4
Grindelwald,male,2,13,3.605551275,7.211102551,Fantastic Beasts,#1f77b4
Heinrich Eberstadt,male,1,18,4.242640687,8.485281374,Fantastic Beasts,#1f77b4
Henry Shaw Jr.,male,5,74,8.602325267,17.20465053,Fantastic Beasts,#1f77b4
Henry Shaw Sr.,male,9,87,9.327379053,18.65475811,Fantastic Beasts,#1f77b4
Jacob Kowalski,male,91,737,27.14774392,54.29548784,Fantastic Beasts,#1f77b4
Langdon Shaw,male,11,139,11.78982612,23.57965225,Fantastic Beasts,#1f77b4
Madam Ya Zhou,female,1,10,3.16227766,6.32455532,Fantastic Beasts,#e377c2
Man,male,1,2,1.414213562,2.828427125,Fantastic Beasts,#1f77b4
Man 2,male,1,2,1.414213562,2.828427125,Fantastic Beasts,#1f77b4
Man from Apartment,male,1,15,3.872983346,7.745966692,Fantastic Beasts,#1f77b4
Mary Lou Barebone,female,16,213,14.59451952,29.18903904,Fantastic Beasts,#e377c2
Minister,male,3,22,4.69041576,9.38083152,Fantastic Beasts,#1f77b4
Modesty Barebone,female,6,115,10.72380529,21.44761059,Fantastic Beasts,#e377c2
Momolou Wotorson,male,1,5,2.236067977,4.472135955,Fantastic Beasts,#1f77b4
Mrs. Esposito,female,2,6,2.449489743,4.898979486,Fantastic Beasts,#e377c2
Mrs. Goldstein,female,2,10,3.16227766,6.32455532,Fantastic Beasts,#e377c2
Newt Scamander,male,175,2037,45.13313639,90.26627277,Fantastic Beasts,#1f77b4
Percival Graves,male,42,673,25.94224354,51.88448708,Fantastic Beasts,#1f77b4
Police Officer,male,2,17,4.123105626,8.246211251,Fantastic Beasts,#1f77b4
Police Officer 2,male,1,2,1.414213562,2.828427125,Fantastic Beasts,#1f77b4
Police Officer 3,male,1,5,2.236067977,4.472135955,Fantastic Beasts,#1f77b4
Queenie Goldstein,female,43,403,20.0748599,40.1497198,Fantastic Beasts,#e377c2
Red,male,2,6,2.449489743,4.898979486,Fantastic Beasts,#1f77b4
Reporter,male,3,12,3.464101615,6.92820323,Fantastic Beasts,#1f77b4
Reporter 2,male,3,22,4.69041576,9.38083152,Fantastic Beasts,#1f77b4
Sam,male,3,7,2.645751311,5.291502622,Fantastic Beasts,#1f77b4
Seraphina Picquery,female,21,303,17.40689519,34.81379037,Fantastic Beasts,#e377c2
Shopping Woman,female,1,9,3,6,Fantastic Beasts,#e377c2
Tina Goldstein,female,106,930,30.49590136,60.99180273,Fantastic Beasts,#e377c2
Witness,male,2,48,6.92820323,13.85640646,Fantastic Beasts,#1f77b4
Woman,female,1,3,1.732050808,3.464101615,Fantastic Beasts,#e377c2
Woman 2,female,1,1,1,2,Fantastic Beasts,#e377c2
Woman from Apartment,female,1,19,4.358898944,8.717797887,Fantastic Beasts,#e377c2
Bailey,male,66,510,22.58317958,45.16635916,Finding Dory,#1f77b4
Bill,male,2,32,5.656854249,11.3137085,Finding Dory,#1f77b4
Bloat,male,1,2,1.414213562,2.828427125,Finding Dory,#1f77b4
Carol,female,2,19,4.358898944,8.717797887,Finding Dory,#e377c2
Charlie,male,58,377,19.41648784,38.83297568,Finding Dory,#1f77b4
Crush,male,7,64,8,16,Finding Dory,#1f77b4
Deb,female,1,5,2.236067977,4.472135955,Finding Dory,#e377c2
