Character,Gender,speaking_turns,Total_Words,radius,diameter,Movie,Color
Buddy,male,26,169,13,26,Secret Life Of Pets,#1f77b4
Cat's Mom,female,1,2,1.414213562,2.828427125,Secret Life Of Pets,#e377c2
Chloe,female,27,284,16.85229955,33.70459909,Secret Life Of Pets,#e377c2
Chloe's Mom,female,1,7,2.645751311,5.291502622,Secret Life Of Pets,#e377c2
Derick,male,4,16,4,8,Secret Life Of Pets,#1f77b4
Dogcatcher 1,male,8,47,6.8556546,13.7113092,Secret Life Of Pets,#1f77b4
Dogcatcher 2,male,8,41,6.403124237,12.80624847,Secret Life Of Pets,#1f77b4
Dragon,male,1,3,1.732050808,3.464101615,Secret Life Of Pets,#1f77b4
Duke,male,102,855,29.24038303,58.48076607,Secret Life Of Pets,#1f77b4
Female Corgi,female,1,4,2,4,Secret Life Of Pets,#e377c2
Female Dog,female,1,2,1.414213562,2.828427125,Secret Life Of Pets,#e377c2
Fernando,male,2,27,5.196152423,10.39230485,Secret Life Of Pets,#1f77b4
Fluffy Cat,male,3,36,6,12,Secret Life Of Pets,#1f77b4
Gidget,female,58,579,24.06241883,48.12483766,Secret Life Of Pets,#e377c2
Gidget's Mom,female,1,6,2.449489743,4.898979486,Secret Life Of Pets,#e377c2
Gino's Dad,male,1,3,1.732050808,3.464101615,Secret Life Of Pets,#1f77b4
Girl Dog Walker,female,2,6,2.449489743,4.898979486,Secret Life Of Pets,#e377c2
Guillermo,male,4,21,4.582575695,9.16515139,Secret Life Of Pets,#1f77b4
Guy Playing Fetch,male,1,2,1.414213562,2.828427125,Secret Life Of Pets,#1f77b4
Katie,female,12,234,15.29705854,30.59411708,Secret Life Of Pets,#e377c2
Leonard's Dad,male,2,15,3.872983346,7.745966692,Secret Life Of Pets,#1f77b4
Little Girl,female,4,30,5.477225575,10.95445115,Secret Life Of Pets,#e377c2
Male Cat,male,1,2,1.414213562,2.828427125,Secret Life Of Pets,#1f77b4
Male Cat 2,male,2,5,2.236067977,4.472135955,Secret Life Of Pets,#1f77b4
Male Dog,male,1,4,2,4,Secret Life Of Pets,#1f77b4
Male Golden Retriever,male,1,5,2.236067977,4.472135955,Secret Life Of Pets,#1f77b4
Male Turtle,male,1,2,1.414213562,2.828427125,Secret Life Of Pets,#1f77b4
Man,male,1,2,1.414213562,2.828427125,Secret Life Of Pets,#1f77b4
Maria,female,3,15,3.872983346,7.745966692,Secret Life Of Pets,#e377c2
Max,male,152,1659,40.73082371,81.46164742,Secret Life Of Pets,#1f77b4
Mel,male,25,201,14.17744688,28.35489376,Secret Life Of Pets,#1f77b4
Mel's Dad,male,1,3,1.732050808,3.464101615,Secret Life Of Pets,#1f77b4
Nitro,male,2,22,4.69041576,9.38083152,Secret Life Of Pets,#1f77b4
Norman,male,14,69,8.306623863,16.61324773,Secret Life Of Pets,#1f77b4
Ozone,male,11,124,11.13552873,22.27105745,Secret Life Of Pets,#1f77b4
Peanut,male,3,11,3.31662479,6.633249581,Secret Life Of Pets,#1f77b4
Peppy's Dad,male,1,2,1.414213562,2.828427125,Secret Life Of Pets,#1f77b4
Pops,male,27,261,16.15549442,32.31098884,Secret Life Of Pets,#1f77b4
Retractable Leash Dog,male,1,8,2.828427125,5.656854249,Secret Life Of Pets,#1f77b4
Runty's Dad,male,1,2,1.414213562,2.828427125,Secret Life Of Pets,#1f77b4
Seamonkey,male,1,10,3.16227766,6.32455532,Secret Life Of Pets,#1f77b4
Shelly's Mom,female,1,4,2,4,Secret Life Of Pets,#e377c2
Snowball,male,55,1045,32.32645975,64.6529195,Secret Life Of Pets,#1f77b4
Sweetpea's Dad,male,1,2,1.414213562,2.828427125,Secret Life Of Pets,#1f77b4
Tattoo,male,6,49,7,14,Secret Life Of Pets,#1f77b4
Taxi Driver,male,1,1,1,2,Secret Life Of Pets,#1f77b4
Tiberius,male,27,275,16.58312395,33.1662479,Secret Life Of Pets,#1f77b4
Woman,female,2,5,2.236067977,4.472135955,Secret Life Of Pets,#e377c2
