Character,Gender,speaking_turns,Total_Words,radius,diameter,Movie,Color
Admiral Olsen,male,2,17,4.123105626,8.246211251,Suicide Squad,#1f77b4
Ames,male,1,8,2.828427125,5.656854249,Suicide Squad,#1f77b4
Angelo,male,6,47,6.8556546,13.7113092,Suicide Squad,#1f77b4
Batman,male,6,54,7.348469228,14.69693846,Suicide Squad,#1f77b4
Bodyguard,male,1,5,2.236067977,4.472135955,Suicide Squad,#1f77b4
Bodyguard 2,female,1,2,1.414213562,2.828427125,Suicide Squad,#e377c2
Bride,female,1,8,2.828427125,5.656854249,Suicide Squad,#e377c2
Businessman,male,1,11,3.31662479,6.633249581,Suicide Squad,#1f77b4
Captain Boomerang,male,30,326,18.05547009,36.11094017,Suicide Squad,#1f77b4
Casino Boss,male,1,23,4.795831523,9.591663047,Suicide Squad,#1f77b4
Dexter Tolliver,male,15,241,15.5241747,31.04834939,Suicide Squad,#1f77b4
Diablo,male,31,374,19.33907961,38.67815921,Suicide Squad,#1f77b4
Diablo's Wife,female,4,29,5.385164807,10.77032961,Suicide Squad,#e377c2
Dispatcher,female,1,6,2.449489743,4.898979486,Suicide Squad,#e377c2
Enchantress,female,23,265,16.2788206,32.55764119,Suicide Squad,#e377c2
Female Assistant,female,3,23,4.795831523,9.591663047,Suicide Squad,#e377c2
Flag,male,118,1218,34.89985673,69.79971347,Suicide Squad,#1f77b4
Flash,male,1,5,2.236067977,4.472135955,Suicide Squad,#1f77b4
Floyd,male,127,1432,37.84177586,75.68355171,Suicide Squad,#1f77b4
General,male,7,60,7.745966692,15.49193338,Suicide Squad,#1f77b4
General 2,male,1,9,3,6,Suicide Squad,#1f77b4
Griggs,male,36,500,22.36067977,44.72135955,Suicide Squad,#1f77b4
Guard 2,male,2,18,4.242640687,8.485281374,Suicide Squad,#1f77b4
Guard 3,male,1,7,2.645751311,5.291502622,Suicide Squad,#1f77b4
Guard 4,male,1,5,2.236067977,4.472135955,Suicide Squad,#1f77b4
Guard at Gate,male,1,12,3.464101615,6.92820323,Suicide Squad,#1f77b4
Harley,female,87,602,24.53568829,49.07137659,Suicide Squad,#e377c2
Incubus,male,6,23,4.795831523,9.591663047,Suicide Squad,#1f77b4
Joker,male,32,258,16.0623784,32.12475681,Suicide Squad,#1f77b4
Jonny Frost,male,6,76,8.717797887,17.43559577,Suicide Squad,#1f77b4
June,female,12,83,9.110433579,18.22086716,Suicide Squad,#e377c2
Katana,female,6,38,6.164414003,12.32882801,Suicide Squad,#e377c2
Killer Croc,male,9,42,6.480740698,12.9614814,Suicide Squad,#1f77b4
Mafia Guy,male,1,5,2.236067977,4.472135955,Suicide Squad,#1f77b4
Male Dispatch,male,1,8,2.828427125,5.656854249,Suicide Squad,#1f77b4
Man in Flashback,male,2,7,2.645751311,5.291502622,Suicide Squad,#1f77b4
Medic's Wife,female,1,13,3.605551275,7.211102551,Suicide Squad,#e377c2
Medical Officer,male,5,15,3.872983346,7.745966692,Suicide Squad,#1f77b4
Medical Officer 2,female,2,5,2.236067977,4.472135955,Suicide Squad,#e377c2
Medical Officer 3,male,1,2,1.414213562,2.828427125,Suicide Squad,#1f77b4
Military Extra,male,2,18,4.242640687,8.485281374,Suicide Squad,#1f77b4
Military on Radio,male,2,18,4.242640687,8.485281374,Suicide Squad,#1f77b4
Military Personnel,male,3,13,3.605551275,7.211102551,Suicide Squad,#1f77b4
Monster T,male,6,53,7.280109889,14.56021978,Suicide Squad,#1f77b4
Nurse,female,2,12,3.464101615,6.92820323,Suicide Squad,#e377c2
Physician,male,2,7,2.645751311,5.291502622,Suicide Squad,#1f77b4
Pilot,male,1,16,4,8,Suicide Squad,#1f77b4
Police Officer,male,1,19,4.358898944,8.717797887,Suicide Squad,#1f77b4
Police Officer 2,male,1,11,3.31662479,6.633249581,Suicide Squad,#1f77b4
SEAL,male,1,5,2.236067977,4.472135955,Suicide Squad,#1f77b4
Seal 1,male,5,24,4.898979486,9.797958971,Suicide Squad,#1f77b4
Seal 2,male,1,7,2.645751311,5.291502622,Suicide Squad,#1f77b4
Seal 3,male,1,2,1.414213562,2.828427125,Suicide Squad,#1f77b4
Seal 4,male,1,2,1.414213562,2.828427125,Suicide Squad,#1f77b4
Seals,male,1,3,1.732050808,3.464101615,Suicide Squad,#1f77b4
Slipknot,male,4,12,3.464101615,6.92820323,Suicide Squad,#1f77b4
Soldier on Radio,male,4,15,3.872983346,7.745966692,Suicide Squad,#1f77b4
Unknown Assistant,male,1,2,1.414213562,2.828427125,Suicide Squad,#1f77b4
Unknown Man,male,1,13,3.605551275,7.211102551,Suicide Squad,#1f77b4
Unknown Men,male,1,9,3,6,Suicide Squad,#1f77b4
Unknown soldier,male,3,3,1.732050808,3.464101615,Suicide Squad,#1f77b4
Unknown Soldier,male,3,44,6.633249581,13.26649916,Suicide Squad,#1f77b4
Van Driver,male,2,30,5.477225575,10.95445115,Suicide Squad,#1f77b4
Waller,female,79,1210,34.78505426,69.57010852,Suicide Squad,#e377c2
Zoe,female,12,131,11.44552314,22.89104628,Suicide Squad,#e377c2
